tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
28;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,92;284302;457,0;25;14;8,9;20,8;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,53;15,03;7,55;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,29;7,48;58,42;0,7455;23810328000000,0;4879582,77
29;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,9;297903;496,1;25;14;11,4;19,3;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,56;15,02;7,55;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,43;7,48;55,57;0,764;19044667555555,56;4364019,66
30;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,89;309725;446,7;25;14;8,8;14,9;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,66;15,08;7,62;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,55;7,48;51,93;0,7876;16665656000000,0;4082359,12
31;3;3;50;16,67;243,36;24336;24336;24336,0;7,33;7,87;315158;452,1;25;14;7,7;14,0;100,0;3;0;2,0;100,0;1;3;0,82;1170,0;13680,0;8112,0;5198,78;2,0;11,0;7,0;4,0;-2,72;15,08;7,65;100,0;0;0;2,4336;0,8112;1,368;64,09;52,62;14,55;7,48;64,09;0,7089;27027288000000,0;5198777,55
32;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,91;324985;501,7;25;14;11,6;20,5;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,63;15,09;7,62;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,47;7,48;55,57;0,764;19044667555555,56;4364019,66
33;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,98;337994;473,5;25;14;9,5;16,1;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,53;15,17;7,6;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,57;7,48;51,93;0,7876;16665656000000,0;4082359,12
34;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,98;350053;507,9;25;14;10,8;19,8;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,59;15,21;7,64;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,73;7,48;58,42;0,7455;23810328000000,0;4879582,77
35;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,02;353368;585,1;25;14;8,7;15,3;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,54;15,26;7,63;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,7;7,48;55,57;0,764;19044667555555,56;4364019,66
36;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,08;372167;460,6;25;14;8,1;14,6;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,53;15,33;7,67;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,5;7,48;51,93;0,7876;16665656000000,0;4082359,12
37;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,09;381040;453,7;25;14;7,8;14,2;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,59;15,3;7,7;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;13,93;7,48;58,42;0,7455;23810328000000,0;4879582,77
