TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
14,1,0,0,0,0,0,11,"[10, 14, 13, 12, 12, 13, 7, 12, 10, 12, 8, 12, 10, 9, 13, 13, 10]",15.7675
14,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,7824,1,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 5, 2, 2]",-7.7361
14,3,21,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41]",4,14040,0,7,"[8, 5, 3, 4, 4, 8, 10, 4, 10, 8, 8, 8, 7, 11, 9, 8, 11]",7.6108
15,1,0,0,0,0,0,11,"[10, 13, 13, 11, 12, 13, 8, 12, 11, 12, 8, 11, 10, 8, 12, 13, 10]",15.6661
15,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,11664,1,"[3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 5, 1, 2]",-5.5357
15,3,18,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32]",4,11160,0,7,"[8, 4, 3, 4, 4, 7, 10, 4, 10, 8, 8, 8, 7, 11, 9, 8, 11]",7.5893
16,1,0,0,0,0,0,11,"[10, 13, 13, 11, 12, 13, 8, 12, 11, 12, 7, 11, 10, 8, 12, 13, 10]",15.5851
16,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,13736,2,"[3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 3, 4, 4, 1, 2]",-3.8174
16,3,21,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41]",4,13504,0,7,"[8, 4, 3, 4, 4, 7, 10, 4, 10, 8, 8, 8, 7, 11, 9, 8, 11]",7.4975
17,1,9,"[0, 1, 2, 9, 10, 11, 18, 19, 20]",2,6144,0,11,"[9, 13, 14, 11, 12, 13, 9, 12, 11, 11, 8, 11, 10, 8, 12, 13, 10]",15.6069
17,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,8024,2,"[3, 3, 4, 2, 3, 2, 3, 3, 3, 2, 2, 1, 3, 3, 4, 1, 2]",-3.0078
17,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,9984,0,7,"[8, 4, 3, 5, 4, 7, 10, 4, 10, 8, 8, 8, 7, 11, 10, 8, 12]",7.4134
